,MASTER_STYLE,STYLE_NAME,UNIQUE_SKU
13227,ROMP TO RHYTHM ROMPER,ROMP TO RHYTHM ROMPER,7.0
13228,LAB SLIT TUNIC TANK,BREEZE BY TUNIC,6.0
13229,NO REEK SWEAT TECH SS,NO REEK SWEAT TECH *LIGHT S/S,4.0
13230,LIGHTENED UP SINGLET,LIGHTENED UP SINGLET,3.0
13231,GROOVE PANT SLIM,GROOVE PANT*SLIM*BRUSHED,4.0
13232,DEPARTURE TOP,DEPARTURE TOP,5.0
13233,SEQUENCE HOODIE,SEQUENCE HOODIE,2.0
13234,NOHO LEGGGING,NOHO LEGGGING,1.0
13235,PRECISE PANT,PRECISE PANT,5.0
13236,MISS MISTY JACKET,MISS MISTY JACKET,7.0
13237,Nebula Print Scarf,NEBULA PRINT SCARF,1.0
13238,RUN NOTHIN TO HIDE JACKET,RUN NOTHIN TO HIDE JACKET,3.0
13239,DON'T SWEAT IT PANT,DON'T SWEAT IT PANT,4.0
13240,POST GRAVITY PANT,POST GRAVITY PANT,6.0
13241,SPEED UP SHORT REG,SPEED UP SHORT *CHI,10.0
13242,&GO 'TIL DAWN DRESS,&GO 'TIL DAWN DRESS,4.0
13243,RIVAL POLO,RIVAL POLO,4.0
13244,SEAWALL TRACK PANT II,SEAWALL TRACK PANT 2.0-T,2.0
13245,INCENTIVE CARD,Y YOGA 1 CLASS PASS,1.0
13246,Radar Zip,RADAR ZIP,3.0
13247,VARSITY CROP,VARSITY CROP,5.0
13248,KONZAI SS,SUNSET SS,4.0
13249,RIVAL HOODIE,RIVAL HOODIE,7.0
13250,STUDIO KIT,STUDIO KIT,3.0
13251,FLOW & GO TANK,FLOW AND GO TANK,5.0
13252,HIGH TIMES PANT,HIGH TIMES PANT - ZIP,6.0
13253,5 YEAR BASIC T,5 YEAR BASIC T *CHI,12.0
13254,FITNESS DVD/VHS,THE HAPPY MOVIE DVD,1.0
13255,RISE AND GO PONCHO,RISE AND GO PONCHO,4.0
13256,FREE RUN SL TECH,FREE RUN S/L TECH LIGHT,7.0
13257,GET SET LS ES,GET SET LS,4.0
13258,Fleaux Pant,FLEAUX PANT,2.0
13259,EL CURRENT SHORT 11,EL CURRENT SHORT II LINED,7.0
13260,SPEED VEST,SPEED VEST,6.0
13261,PRESENCE PANT,PRESENCE PANT,8.0
13262,SEAWALL TRACK PANT II,SEAWALL TRACK PANT LINED,6.0
13263,RUN PROCEED WITH SPEED CROP,RUN: PROCEED WITH SPEED CROP,7.0
13264,HAPPY HATHA HOUR BAG,HAPPY HATHA HOUR BAG,3.0
13265,CROP SLIT BABIES,CROP SLIT BABIES,4.0
13266,SPEEDY SHORT,SPEEDY SHORT REFLECTIVE,3.0
13267,PRACTICE READY LS TEE,PRACTICE READY LS TEE KNIT,4.0
13268,FAST AND FREE SHORT 3,FAST AND FREE SHORT 3 *CHI,5.0
13269,Cropt Pillow,CROPT PILLOW,4.0
13270,TRACKER SHORT II,TRACKER SHORT II*SW,8.0
13271,RACE TO PLACE RUN HAT,RACE TO PLACE RUN HAT 2.0 MESH,2.0
13272,PUSH UR LIMITS TANK,PUSH UR LIMITS TANK,6.0
13273,WEEKEND WARRIOR BAG,REFLECTIVE WEEKEND WARRIOR BAG,1.0
13274,WUNDER UNDER HI-RISE 78 TIGHT,WUNDER UNDER HR 78 *SSF,3.0
13275,EMBRACE HOODIE,EMBRACE HOODIE LUSCIOUS,5.0
13276,MAKE A MOVE LS,MAKE A MOVE LS,6.0
13277,ALL SPORT BRA III,ALL SPORT BRA,7.0
13278,VARSITY SHORT,VARSITY SHORT II,5.0
13279,RHYTHMIC TIGHT,RHYTHMIC TIGHT SHINE,3.0
13280,"PACE BREAKER 9"" LINED *PRCT",PACE BREAKER LINED *PRCT YEG,3.0
13281,UNITY PULLOVER,UNITY PULLOVER,4.0
13282,ON THE DAILY HOODIE,ON THE DAILY HOODIE *TERRY,6.0
13283,PACE BREAKER SHORT,PACE BREAKER SHORT VERBIAGE,3.0
13284,IN TO WIN DUFFLE,IN TO WIN DUFFLE,2.0
13285,SPEED UP TIGHT FT,SPEED UP TIGHT - BRUSHED,3.0
13286,ECLIPSE JACKET,ECLIPSE JACKET,1.0
13287,RUN INSPIRE CROP II,RUN: INSPIRE CROP SE,4.0
13288,IN MOTION SHORT,IN MOTION SHORT,7.0
13289,Cropt Back T,CROPT BACK T,1.0
13290,CORE SHORT,CORE SHORT H20,5.0
13291,TRAIN TIMES 7/8 PANT,TRAIN TIMES 7/8 PANT DO NOT USE AFTER SU18,5.0
13292,WATER: SHORE RUNNER SHORT,STRIDE TO TIDE SHORT,5.0
13293,TRACK BLAZER JACKET,TRACK BLAZER JACKET,3.0
13294,QUICK PANT,QUICK PANT,5.0
13295,LOVE CREW IIL,LOVE CREW III,4.0
13296,WAVE RIDER LS TEE,WAVE RIDER LS TEE,3.0
13297,SWEAT-ER ONCE A DAY JACKET KNIT,SWEAT ER ONCE A DAY JACKET KNIT,3.0
13298,FORMAT BOXER,FORMAT SHORT,3.0
13299,CARRY AND GO PANT,CARRY AND GO PANT II,1.0
13300,PATIENCE PANT,PATIENCE PANT,6.0
13301,CAMBER DRESS,CAMBER DRESS,1.0
13302,WUNDER UNDER CROP HR 21IN,WUNDER UNDER CROP HR SS DO NOT USE,5.0
13303,REVOLUTION HOODIE II,REVOLUTION HOODIE II,4.0
13304,BORN TO DANCE HOODIE,BORN TO DANCE HOODIE,4.0
13305,Choice Tee,CHOICE TEE,4.0
13306,&GO SKYLINE JACKET,&GO SKYLINE JACKET,6.0
13307,RUN TOASTY TECH PULLOVER,RUN TOASTY TECH PULLOVER,5.0
13308,EASY ACCESS CROSSBODY,EASY ACCESS CROSSBODY LEADERSHIP,1.0
13309,CAPTURE THE FLAG SINGLET,CAPTURE THE FLAG SINGLET,2.0
13310,Orion Short,ORION SHORT,1.0
13311,RUN: SWIFTLY TECH 1/2 ZIP,RUN SWIFTLY HALF ZIP TONKA,5.0
13312,BE STILL PANT,BE STILL PANT*P,2.0
13313,GET FIT TANK,GET FIT TANK,1.0
13314,PROVINCIAL PANT,PROVINCIAL PANT WANDERLUST,3.0
13315,SPEED UP TIGHT,SPEED UP TIGHT *RPH,3.0
13316,WILL THE WAVE TEE ,WILL THE WAVE TEE,5.0
13317,Axis,AXIS,2.0
13318,FOCUS V,FOCUS V,6.0
13319,ACTIVITY RACER,ACTIVITY RACER,4.0
13320,FOR LOVE ONESIE,FOR LOVE ONESIE,4.0
13321,PLAYER JACKET,PLAYER JACKET*G,3.0
13322,BARE PULSE PANT,BARRE PULSE PANT,4.0
13323,TRACK TO REALITY PANT,TRACK TO REALITY PANT,5.0
13324,BRISK RUN NECK WARMER,BRISK RUN NECK WARMER,2.0
13325,WUNDER UNDER PANT ROLL DOWN,WUNDER UNDER PANT ROLL DOWN FULLUX,4.0
13326,&GO TAKE YOU THERE TROUSER,&GO TAKE YOU THERE TROUSER,4.0
13327,INNER ESSENCE BRA,INNER ESSENCE BRA,8.0
13328,CLASS TO PRACTICE BACKPACK,CLASS TO PRACTICE BACKPACK,1.0
13329,ELEVATE YOUR SPIRIT TEE,ELEVATE YOUR SPIRIT TEE,6.0
13330,STAR RUNNER PULLOVER,STAR RUNNER PULLOVER,3.0
13331,END STATE PULLOVER,END STATE PULLOVER,3.0
13332,SNOW AWESOME SCARF,SNOW AWESOME SCARF,2.0
13333,Nebula Print Bandana,NEBULA PRINT BANDANA,1.0
13334,SUPER HIGH TIMES PANT,SUPER HIGH TIMES PANT,6.0
13335,PIPES SL,PIPES S/L,6.0
13336,BACK 2 BASIC HEADBAND,BACK 2 BASIC HEADBAND,1.0
13337,WUNDER UNDER CROP,WUNDER UNDER CROP SE BONDED,3.0
13338,PACE BREAKER 7 LINED,PACE BREAKER SHORT 7 L *SD10K,4.0
13339,ROUTINE PANT,ROUTINE PANT III,3.0
13340,SCUBA HOODIE II,SCUBA HOODIE II*SEAWHEEZE,2.0
13341,MEN'S TECHLOOM ASCEND,MEN'S TECHLOOM ASCEND - EXCLUSIVE,5.0
13342,STRATA SLEEVELESS,STRATA SLEEVELESS,1.0
13343,Knitt Dress,KNITT DRESS,3.0
13344,RUN WAYS DUFFEL,RUN WAYS DUFFEL SEAWHEEZE,1.0
13345,RUN: SWIFTLY TECH LS CREW,SWIFTLY LS CREW SEAWHEEZE,5.0
13346,RUN: SUNSET RUN TECH,RUN: SUNSET RUN TECH,7.0
13347,COOL RACERBACK,COOL RACERBACK SW,1.0
13348,RUN SPEED SHORT,RUN:SPEED SHORT*G,6.0
13349,ATMA TANK,ATMA TANK,2.0
13350,PRACTICE DAILY TANK,PRACTICE DAILY TANK,6.0
13351,BOOGIE ON SHORT,BOOGIE ON SHORT,5.0
13352,GLOW TANK*D,GLOW TANK*D,1.0
13353,CITY SWEAT PANT,CITY SWEAT PANT,6.0
13354,FORM JACKET,FORM JACKET,6.0
13355,SAVASANA WRAP 2,SAVASANA WRAP,5.0
13356,PASSION CROP II,PASSION CROP II,8.0
13357,SPIRAL UP HAIR TIE,SPIRAL UP HAIR TIES,3.0
13358,IF YOU'RE LUCKY JACKET,IF YOU'RE LUCKY JACKET,6.0
13359,TEAM PLAYER BACKPACK,TEAM PLAYER BACKPACK,2.0
13360,DAILY SHIRT SS,DAILY SHIRT SS,6.0
13361,MENS BBB LS TEE,BBB L/S TEE VITASEA,6.0
13362,TWIST AND TURN TANK,TWIST AND TURN TANK,6.0
13363,JOURNEY CROP,JOURNEY CROP,6.0
13364,CHALLENGE READY PANT,CHALLENGE READY PANT,5.0
13365,PANELED WARMTH JACKET,PANELED WARMTH JACKET,2.0
13366,FLUFFED UP PULLOVER,FLUFFED UP PULLOVER,5.0
13367,CONVERTIBLE COMMUTE JACKET,CONVERTIBLE COMMUTE JACKET,3.0
13368,MENS PROSTAR SOCK,M PROSTAR SOCK,4.0
13369,CIRRUS SHORT SLEEVE CREW,CIRRUS SHORT SLEEVE CREW,1.0
13370,RUN: SWIFTLY TECH LS CREW,RUN SWIFTLY TECH LS TONKA STRIPE,6.0
13371,WIND LS TECH TOP,WIND LS TECH TOP,4.0
13372,WORK IT OUT DUFFEL,WORK IT OUT DUFFEL,2.0
13373,FREE TO MOVE BIKINI UNDIES,FREE TO MOVE BIKINI UNDIES TD,4.0
13374,ALIGN PANT II,ALIGN HR PANT 24 INCH,6.0
13375,SYNTH CREW,SYNTH CREW - THIS IS REFLECTIVE,4.0
13376,ACTION ALWAYS TANK APAC WI19,ACTION ALWAYS TANK,3.0
13377,CLAM DIGGER III,CLAM DIGGER III,4.0
13378,PRINCIPLE PANT,PRINCIPLE PANT,4.0
13379,RUN WARM UP CREW,RUN WARM UP CREW,5.0
13380,DEFINE JACKET,DEFINE JACKET ASIA,3.0
13381,CARRY-ON CREW,CARRY ON CREW,6.0
13382,SWEAT SESSION 1/2 ZIP,SWEAT SESSION 1/2 ZIP,3.0
13383,SURGE SHORT 6 LINED ,SURGE SHORT 6 LINED *CHI,6.0
13384,POWER CLASS BRA,POWER CLASS BRA,6.0
13385,EMBODY CROP,EMBODY CROP,5.0
13386,JUST BREATHE CROP,JUST BREATHE CROP,5.0
13387,TRANSIT CREW,TRANSIT CREW,4.0
13388,LENGTHEN YOUR PRACTICE LEG WARMER,PRACTICE LEG WARMER,2.0
13389,STAY HOT KEEP COLD BOTTLE - 19OZ,STAY HOT KEEP COLD BOTTLE - SPLATTER,3.0
13390,THE REVERSIBLE MAT 5MM,THE REVERSIBLE MAT 5MM MARBLED,4.0
13391,CHAMBER PULLOVER,CHAMBER PULLOVER,5.0
13392,METAL VENT TECH LS V,METAL VENT TECH LS V EVO ETHNIC,3.0
13393,TWICE AS NICE SKIRT,TWICE AS NICE SKIRT,2.0
13394,TRINITY TANK,TRINITY TANK,5.0
13395,POST PRACTICE POLO,POST PRACTICE POLO,4.0
13396,PRANAYAMA SCARF,PRANAYAMA SCARF,3.0
13397,GOT TO GLOW JACKET,GOT TO GLOW JACKET,7.0
13398,INSPIRATION TANK,INSPIRATION TANK,5.0
13399,TRINITY BRA,TRINITY BRA,3.0
13400,SPEEDSTER PANT,SPEEDSTER PANT,4.0
13401,5 YEAR BASIC T,5 YEAR BASIC T *EDM,5.0
13402,5 YEAR BASIC LS V,5 YEAR BASIC HIGH V WANDERLUST,3.0
13403,JIM NAZIUM TANK,JIM NAZIUM TANK VITASEA,2.0
13404,ITS A TIE TANK,IT'S A TIE TANK,6.0
13405,RUN MAKE IT COUNT TANK,RUN MAKE IT COUNT TANK,5.0
13406,AIR TIME SHORT,AIR TIME SHORT,5.0
13407,RYU LS SHRUG,CRUISER CROPPED LS,4.0
13408,HEART OPENER SCARF,HEART OPENER SCARF,3.0
13409,RUN:BACK ON TRACK CROP,RUN:BACK ON TRACK CROP,5.0
13410,RUN CHASE ME TANK,RUN: CHASE ME TANK,3.0
13411,METAL VENT TECH LS,METAL VENT TECH LS *LA,6.0
13412,YVR LAB OPEN ACCESSORY,YVR LAB OPEN ACCESSORY,1.0
13413,SCUBA HOODIE,SCUBA HOODIE IV*AO19 DATE,4.0
13414,BBB SS TEE,BBB RECESS TEE SS VITASEA,5.0
13415,SUCH A CINCH VEST,SUCH A CINCH VEST,5.0
13416,WUNDER UNDER PANT,WUNDER UNDER PANT SILVER,5.0
13417,PREMIUM VENT SL,PREMIUM VENT S/L,5.0
13418,Circle Print Bandana,CIRCLE PRINT BANDANA,1.0
13419,MIRAGE TIGHT,MIRAGE TIGHT,1.0
13420,WUNDER UNDER PANT,WUNDER UNDER TIGHT *ORG,5.0
13421,BUST A MOVE PANT,BUST A MOVE PANT,3.0
13422,PERFORMANCE JACKET,PERFORMANCE JACKET,6.0
13423,SEEK THE HEAT TANK,SEEK THE HEAT TANK,5.0
13424,EVERY YOGI LS,EVERY YOGI LS,7.0
13425,CARDIO KICK TANK,CARDIO KICK TANK,6.0
13426,METAL VENT TECH LS,METAL VENT TECH LS CAMO SLV,4.0
13427,FLY TECH LS TEE,FLY TECH LS TEE LEGACY STRIPE,3.0
13428,WUNDER TRAIN TIGHT 25 INS,WUNDER TRAIN HR TIGHT 24 INCH,4.0
13429,MOBILIZE PANT,MOBILIZE PANT,5.0
13430,BACK IN ACTION PANT,BACK IN ACTION PANT,3.0
13431,Sheared Tank,SHEARED TANK,5.0
13432,GRACEFUL PRACTICE PANT,GRACEFUL PRACTICE PANT,5.0
13433,ESCAPE JACKET,ESCAPE JACKET,3.0
13434,TURBO TANK,TURBO TANK,5.0
13435,REVOLUTION BOMBER,REVOLUTION BOMBER,4.0
13436,UNKNOWN,XPRNTL*DOUBLE ROLLER,2.0
13437,WUNDER UNDER HR 7/8 TIGHT SSF,WUNDER UNDER HR 7/8 TIGHT SSF,4.0
13438,EL COURT SHORT-BVB,EL COURT SHORT-BVB CA,2.0
13439,BASE RUNNER LS,BASE RUNNER LS,6.0
13440,Graze Pant,GRAZE PANT,3.0
13441,STAY HOT KEEP COLD BOTTLE - 19OZ,STAY HOT KEEP COLD BOTTLE - CHROME,2.0
13442,STRENGTH TECH LS,STRENGTH TECH L/S,6.0
13443,HUFF N PUFF VEST,HUFF N PUFF VEST,6.0
13444,DOWNTIME HOODIE,DOWNTIME HOODIE W GRAPHIC,4.0
13445,RHYTHMIC TIGHT,RHYTHMIC TIGHT 2*QLT,6.0
13446,SPRINT SPEED PANT,SPRINT SPEED PANT BRUSHED,5.0
13447,EL CURRENT SHORT 11,EL CURRENT 11INCH,4.0
13448,Ritz Short,RITZ SHORT,3.0
13449,STUDIO DANCE TIGHT,STUDIO DANCE TIGHT,6.0
13450,REVOLUTION CREW,REVOLUTION CREW,4.0
13451,RIVAL LS,RIVAL LS,5.0
13452,DOUBLE BACK TANK,DOUBLE BACK TANK,5.0
13453,READY TO PERFORM JACKET,READY TO PERFORM JACKET,4.0
13454,SURGE SHORT 7,"SURGE SHORT 7"" NEW LINER SEAWHEEZE",1.0
13455,WUNDER UNDER CROP,WUNDER UNDER CROP*POCKET,5.0
13456,RUN: SWIFTLY TECH SS CREW,RUN: SWIFTLY SS TECH TONKA STRIPE *SEAWHEEZE,8.0
13457,PERFECTLY PERFED TEE,PERFECTLY PERFED TEE,4.0
13458,METAL VENT TECH SHORT SLEEVE,METAL VENT TECH SS *CHICAGO,4.0
13459,FREE FALL CROP,FREE FALL CROP,5.0
13460,HOT TIME LS,HOT TIME LS,7.0
13461,RHYTHMIC TIGHT,RHYTHMIC TIGHT LUXTREME BRUSH,3.0
13462,EL CURRENT SHORT 11,EL CURRENT SHORT II PRINTED,6.0
13463,HAPPY YIN YEAR SWEATPANT,HAPPY YIN YEAR SWEATPANT II,6.0
13464,WET COAST PACK,WET COAST PACK,2.0
13465,Cirrus Car Coat,CIRRUS CAR COAT,2.0
13466,TRACK AND TRAIN TANK,TRACK AND TRAIN TANK,4.0
13467,LA WIDE LEG SUPER-HIGH-RISE PANT,LA WIDE LEG SUPER-HIGH-RISE PANT,3.0
13468,RUN WITH ME GLOVES,RUN WITH ME GLOVES FLEECE,2.0
13469,SPRING FORWARD JACKET,SPRING FORWARD JACKET,5.0
13470,OUT AND ABOUT BAG,OUT AND ABOUT BAG,2.0
13471,YOGI ANORAK JACKET,YOGI ANORAK JACKET,3.0
13472,METAL VENT TECH LS 2.0 ,METAL VENT TECH LS *CHI,5.0
13473,RUN: SWIFTLY TECH RACERBACK,SWIFTLY TECH RACERBACK SE,4.0
13474,RUN: SWIFTLY TECH LS CREW,RUN: SWIFTLY TECH LS - WHITE,5.0
13475,SYNTH LS,SYNTH LS,4.0
13476,MENS OPEN PANT,MEN'S OPEN PANTS,5.0
13477,FLIP AND FLY TANK,FLIP AND FLY TANK,5.0
13478,RIVAL SINGLET,RIVAL SINGLET,3.0
13479,COVER ME TEE,COVER ME TEE,5.0
13480,TURBO SHORT,TURBO RUN SHORT,5.0
13481,UNDER WRAPS PULLOVER,UNDER WRAPS PULLOVER,5.0
13482,APAC SCUBA HOODIE III,SCUBA HOODIE III SE,6.0
13483,PANELED WARMTH PULLOVER,PANELED WARMTH PULLOVER,3.0
13484,RISE AND SHINE BOXER,RISE AND SHINE BOXER,3.0
13485,SURGE SHORT 7,SURGE SHORT 7IN BLOCK IT POCKET,5.0
13486,FLEECY KEEN JACKET II,FLEECY KEEN JACKET II,7.0
13487,VINYASA TO VINO BAG,VINYASA TO VINO BAG,5.0
13488,IN FLUX PANT,IN FLUX PANT,5.0
13489,POST SAVASANA TOTE,POST SAVASANA TOTE,1.0
13490,METAL VENT TECH LS HENLEY,METAL VENT TECH LS HENLEY SPACE DYE SLV,4.0
13491,THE SWEATER THE BETTER,THE SWEATER THE BETTER,6.0
13492,SURYA PANT *P,SURYA PANT *P,1.0
13493,ABC PANT,ABC PANT-T BVB,4.0
13494,ICONIC WRAP,ICONIC WRAP,6.0
13495,EL CURRENT LS,EL CURRENT LS,4.0
13496,METAL VENT TECH SL,METAL VENT TECH S/L,5.0
13497,EMBRACE CROP,EMBRACE CROP,4.0
13498,REFRESH RACER DRESS,REFRESH RACER DRESS,2.0
13499,BRIGHT BOMBER JACKET,BRIGHT BOMBER JACKET,2.0
13500,COMPRESSION SHORT,COMPRESSION SHORT,1.0
13501,STRAPPY HEADBAND,STRAPPY HEADBAND,3.0
13502,COOL RACERBACK,COOL RACERBACK X LONG,4.0
13503,EBB AND FLOW TANK,EBB & FLOW TANK,4.0
13504,PLEAT THE HEAT TANK,PLEAT THE HEAT TANK,5.0
13505,WARM'ER GLOVES,WARM'ER GLOVES,3.0
13506,GYM SHORT,GYM SHORT,4.0
13507,RUN ON TANK ,RUN ON TANK,4.0
13508,STAY HOT KEEP COLD BOTTLE - 32OZ,STAY HOT KEEP COLD LOGO 32OZ - SOFT TOUCH,1.0
13509,AURA SHORT,AURA SHORT,1.0
13510,POWER PUSH SHORT SLEEVE,POWER PUSH SHORT SLEEVE,8.0
13511,DREAM EMBRACER EARWARMER,DREAM EMBRACER EARWARMER,1.0
13512,HIGH TIMES PANT,HIGH TIMES PANT DENIM,2.0
13513,HERE TO THERE TANK,HERE TO THERE TANK,3.0
13514,ARIA TANK,ARIA TANK II,7.0
13515,LET IT RAIN JACKET,LET IT RAIN JACKET,5.0
13516,ALIGN PANT SUPER HI RISE,ALIGN SHR PANT 26 INCH,6.0
13517,IVIVVA HOODIE,IVIVVA HOODIE*SE 1,1.0
13518,FRESH TECH SS,FRESH TECH SS,3.0
13519,HAZE TEE,HAZE TEE,1.0
13520,TRAIN TIMES 7/8 PANT,TRAIN TIMES PANT 24 INCH,4.0
13521,HOTTY HOT SHORT LR,HOTTY HOT SHORT - NAKED ES EV,3.0
13522,CLUB SHORT II,CLUB SHORT II,3.0
13523,VOYAGE PULLOVER,VOYAGE PULLOVER,3.0
13524,WUNDER UNDER HI-RISE TIGHT,WUNDER UNDER HR TIGHT ASIA CNY,3.0
13525,WARM UP SWEATSHIRT,WARM-UP SWEATSHIRT *GRAPHIC,1.0
13526,TRACK ATTACK JACKET,RUN TRACK ATTACH JACKET,4.0
13527,AWESOMEA HENLEY,AWESOMEA HENLEY,5.0
13528,STRAIGHT UP TANK,STRAIGHT UP TANK,3.0
13529,SPECIALIZED BIBSHORT,SPECIALIZED BIBSHORT,4.0
13530,MILES AHEAD SS,MILES AHEAD SS SILVER,5.0
13531,LAB TECTUS TANK,FLECTE TANK *SSF,3.0
13532,PRESTA SKIRT,PRESTA SKIRT,4.0
13533,TURBO SHORT,RUN: TURBO SHORT,4.0
13534,PRECISE T,PRECISE T,3.0
13535,GET DOWN CROP,GET DOWN CROP 2,1.0
13536,FACEOFF LS TECH TOP,FACEOFF LS TECH TOP,4.0
13537,DEDICATION SHORT,DEDICATION SHORT QUILT,4.0
13538,FAST AND FREE HR TIGHT - MESH,FAST AND FREE HR TIGHT - MESH,6.0
13539,COOLDOWN HOODIE,COOLDOWN HOODIE *TWEED,2.0
13540,AERIAL BODYSUIT,AERIAL BODYSUIT*GYM QLT,1.0
13541,SMASH PANT,SMASH PANT,5.0
13542,RACE YOUR PACE LS,RACE YOUR PACE LS,5.0
13543,FLY TECH SS TEE,FLY TECH LS TEE TD STRIPE,2.0
13544,COMPRESSION SHORT,9IN COMPRESSION SHORT,4.0
13545,FT FREE TO FLOW 7/8 TIGHT,FREE TO FLOW 7/8 TIGHT,5.0
13546,BEAT THE ELEMENTS PANT,BEAT THE ELEMENTS PANT,4.0
13547,COOL RACERBACK,COOL RACERBACK SE MOD WAVES,3.0
13548,SURGE SHORT 7,SURGE SHORT 7IN SEAWHEEZE,2.0
13549,UNIVERSAL WRAP,UNIVERSAL WRAP,6.0
13550,MISS MISTY JACKET,MISS MISTY PULLOVER,3.0
13551,WHISPER TANK,WHISPER TANK,5.0
13552,5 YEAR BASIC  TANK,5 YEAR BASIC TANK-YACHTIE STRIP,3.0
13553,SHINE BRIGHT TIGHT,SHINE BRIGHT TIGHT,2.0
13554,HOLD YOUR OM HOODIE,HOLD YOUR OM HOODIE,3.0
13555,STELLAR SWITCH UP JACKET,STELLAR SWITCH UP JACKET,4.0
13556,SWEAT REPS TANK,SWEAT REPS TANK,2.0
13557,WARM TERRAIN LS TEE,WARM TERRAIN LS TEE,1.0
13558,PRACTICE PEACE PANT,PRACTICE PEACE PANT,3.0
13559,RUN: TA TA TOPPER,TA TA TOPPER,5.0
13560,PLEAT TO STREET SKIRT,PLEAT TO STREET SKIRT II *SE,3.0
13561,The Newpant,THE NEWPANT,1.0
13562,ICE QUEEN 7/8 TIGHT,LUMINOUS ICE QUEEN TIGHT,3.0
13563,TRAINING SS TECH,TRAINING SS TECH W GRAPHIC,3.0
13564,RUN: SWIFTLY TECH LS SCOOP,RUN SWIFTLY TECH LS SCOOP WHITE SPACE DYE,3.0
13565,COMMUTE CHINO,COMMUTE CHINO III,5.0
13566,DOWNDAWG SHORT,DOWNDAWG SHORT,3.0
13567,WARM FRONT VEST,WARM FRONT VEST,4.0
13568,MOTIVATE TANK,MOTIVATE TANK,3.0
13569,COOL RACERBACK,COOL RACERBACK SKINNY,4.0
13570,ON YOUR WAY BRA,ON YOUR WAY BRA,4.0
13571,RUN WITH ME NECK WARMER,RUN WITH ME NECK WARMER,4.0
13572,FT VENT IT OUT CROP,VENT IT OUT CROP,6.0
13573,HEAT IT UP BRA,HEAT IT UP BRA,4.0
13574,URBANITE PANT,URBANITE PANT,3.0
13575,FIRST BASE TANK,FIRST BASE TANK,4.0
13576,SUBZERO HEADBAND,SUBZERO HEADBAND,1.0
13577,Cutt Bra,CUTT BRA,4.0
13578,PRACTIVE FREELY TANK,PRACTIVE FREELY TANK,4.0
13579,METAL VENT TECH 1/2 ZIP,METAL VENT TECH LS HALF ZIP,4.0
13580,TRAIN WITH STRENGTH SPORTS BRA,TRAIN WITH STRENGTH SPORTS BRA,2.0
13581,DRIVE THE COURT SHORT 9 - OLYMPICS CG ,DRIVE THE COURT SHORT 9 - OLYMPICS CG ,3.0
13582,CRUISER LS,CRUISER LS,3.0
13583,RUNAWAY RETREAT DUFFEL,RUNAWAY RETREAT DUFFEL,1.0
13584,RUN A MARATHON CROP II,RUN A MARATHON CROP II,3.0
13585,Double Back Tank,DOUBLE BACK TANK,4.0
13586,SHAPE JACKET,SHAPE JACKET SILVER,4.0
13587,RUN FOR GOLD 1/2 ZIP,RUN FOR GOLD HALF ZIP,4.0
13588,FULL TILT LS,RUN FULL TILT LS,4.0
13589,WATER: SEA ME RUN CROP,WATER: SEA ME RUN CROP,3.0
13590,RUNNERS N RACQUETS SHORT,RUNNERS N' RACQUETS SHORT,4.0
13591,ASSERT TECH SS,ASSERT TECH SS,3.0
13592,TO THE POINT LONG SLEEVE,TO THE POINT LS,4.0
13593,REST DAY PULLOVER,REST DAY PULLOVER,3.0
13594,HIKING PANT,HIKING PANT,5.0
13595,XT DAZE SHORT,XT DAZE SHORT,3.0
13596,TUMBLIN' TANK,TUMBLIN' TANK (USE IG1543S),3.0
13597,TAME ME TANK,RUN: TAME ME TANK,4.0
13598,WINTER RUN JACKET,WINTER RUN JACKET,6.0
13599,UNDER WRAPS PULLOVER,UNDER WRAPS PULLOVER *TERRY,3.0
13600,PERF-ECT PADDLE SUIT,PERF-ECT PADDLE SUIT,5.0
13601,POWER YOGA SHORT,POWER YOGA SHORT,4.0
13602,REJUVENATE YOGA TOTE,REJUVENATE YOGA TOTE,3.0
13603,READY GO BACKPACK,READY GO BACKPACK,1.0
13604,ABC JOGGER MESH,ABC JOGGER ASIA,6.0
13605,WARM UP SWEAT LIGHT,WARM UP SWEAT LIGHT,4.0
13606,STUDIO BOXER,STUDIO BOXER BRIEF,3.0
13607,SPEED UP SHORT REG,SPEED UP SHORT *LA,4.0
13608,WUNDER UNDER HI-RISE 78 TIGHT,WUNDER UNDER HR 7/8 TIGHT SE18,4.0
13609,TRAIN TIMES 7/8 PANT,TRAIN TIMES 7/8 PANT *ASIA,3.0
13610,TOTALLY TOASTY MITTENS,TOTALLY TOASTY MITTENS,4.0
13611,WUNDER UNDER CROP ROLL DOWN,WUNDER UNDER CROP ROLL DOWN COTTON,4.0
13612,The Snap Pant,THE SNAP PANT,4.0
13613,POWER UP TANK,POWER UP TANK II,3.0
13614,ABC SHORT 11IN,ABC SHORT 11IN,4.0
13615,PONTE TANK,DROP - PONTE TANK,3.0
13616,NAMASTE YOGA TOTE,NAMASTE YOGA TOTE BONDED,2.0
13617,BEACH RUNNER CROP,BEACH RUNNER CROP,4.0
13618,HAPPY YIN YEAR SWEATPANT,HAPPY YIN YEAR SWEATPANT,4.0
13619,RIVAL BUTTON UP,RIVAL BUTTON UP SE,4.0
13620,WARM AND WONDERFUL CARDI WRAP,WARM AND WONDERFUL CARDI WRAP,5.0
13621,METAL CAMO TENSIL LS,METAL CAMO TENSIL L/S,5.0
